|Name|m|n|p|Time/s|
|s_a|1000|9000|-1|0.155000|
|s_b|1000|9000|-1|0.153000|
|s_c|1000|9000|-1|0.153000|
|p_a|1000|9000|1|0.087000|
|p_b|1000|9000|1|0.088000|
|p_c|1000|9000|1|0.085000|
|p_a|1000|9000|2|0.047000|
|p_b|1000|9000|2|0.048000|
|p_c|1000|9000|2|0.047000|
|p_a|1000|9000|3|0.032000|
|p_b|1000|9000|3|0.032000|
|p_c|1000|9000|3|0.032000|
|p_a|1000|9000|4|0.035000|
|p_b|1000|9000|4|0.035000|
|p_c|1000|9000|4|0.030000|
|p_a|1000|9000|5|0.029000|
|p_b|1000|9000|5|0.029000|
|p_c|1000|9000|5|0.027000|
|p_a|1000|9000|6|0.028000|
|p_b|1000|9000|6|0.026000|
|p_c|1000|9000|6|0.027000|
|p_a|1000|9000|7|0.024000|
|p_b|1000|9000|7|0.023000|
|p_c|1000|9000|7|0.024000|
|p_a|1000|9000|8|0.022000|
|p_b|1000|9000|8|0.020000|
|p_c|1000|9000|8|0.022000|
|p_a|1000|9000|9|0.028000|
|p_b|1000|9000|9|0.026000|
|p_c|1000|9000|9|0.044000|
|p_a|1000|9000|10|0.025000|
|p_b|1000|9000|10|0.024000|
|p_c|1000|9000|10|0.042000|
|p_a|1000|9000|11|0.024000|
|p_b|1000|9000|11|0.022000|
|p_c|1000|9000|11|0.048000|
|p_a|1000|9000|12|0.026000|
|p_b|1000|9000|12|0.024000|
|p_c|1000|9000|12|0.052000|
|s_a|2000|8000|-1|0.273000|
|s_b|2000|8000|-1|0.276000|
|s_c|2000|8000|-1|0.273000|
|p_a|2000|8000|1|0.155000|
|p_b|2000|8000|1|0.156000|
|p_c|2000|8000|1|0.152000|
|p_a|2000|8000|2|0.114000|
|p_b|2000|8000|2|0.085000|
|p_c|2000|8000|2|0.086000|
|p_a|2000|8000|3|0.057000|
|p_b|2000|8000|3|0.057000|
|p_c|2000|8000|3|0.057000|
|p_a|2000|8000|4|0.061000|
|p_b|2000|8000|4|0.054000|
|p_c|2000|8000|4|0.047000|
|p_a|2000|8000|5|0.052000|
|p_b|2000|8000|5|0.053000|
|p_c|2000|8000|5|0.050000|
|p_a|2000|8000|6|0.050000|
|p_b|2000|8000|6|0.047000|
|p_c|2000|8000|6|0.048000|
|p_a|2000|8000|7|0.044000|
|p_b|2000|8000|7|0.041000|
|p_c|2000|8000|7|0.043000|
|p_a|2000|8000|8|0.042000|
|p_b|2000|8000|8|0.039000|
|p_c|2000|8000|8|0.039000|
|p_a|2000|8000|9|0.051000|
|p_b|2000|8000|9|0.047000|
|p_c|2000|8000|9|0.072000|
|p_a|2000|8000|10|0.045000|
|p_b|2000|8000|10|0.042000|
|p_c|2000|8000|10|0.075000|
|p_a|2000|8000|11|0.043000|
|p_b|2000|8000|11|0.041000|
|p_c|2000|8000|11|0.092000|
|p_a|2000|8000|12|0.048000|
|p_b|2000|8000|12|0.042000|
|p_c|2000|8000|12|0.093000|
|s_a|3000|7000|-1|0.361000|
|s_b|3000|7000|-1|0.359000|
|s_c|3000|7000|-1|0.361000|
|p_a|3000|7000|1|0.202000|
|p_b|3000|7000|1|0.206000|
|p_c|3000|7000|1|0.198000|
|p_a|3000|7000|2|0.152000|
|p_b|3000|7000|2|0.114000|
|p_c|3000|7000|2|0.112000|
|p_a|3000|7000|3|0.105000|
|p_b|3000|7000|3|0.075000|
|p_c|3000|7000|3|0.075000|
|p_a|3000|7000|4|0.082000|
|p_b|3000|7000|4|0.067000|
|p_c|3000|7000|4|0.060000|
|p_a|3000|7000|5|0.068000|
|p_b|3000|7000|5|0.069000|
|p_c|3000|7000|5|0.066000|
|p_a|3000|7000|6|0.065000|
|p_b|3000|7000|6|0.062000|
|p_c|3000|7000|6|0.064000|
|p_a|3000|7000|7|0.058000|
|p_b|3000|7000|7|0.054000|
|p_c|3000|7000|7|0.057000|
|p_a|3000|7000|8|0.054000|
|p_b|3000|7000|8|0.049000|
|p_c|3000|7000|8|0.052000|
|p_a|3000|7000|9|0.057000|
|p_b|3000|7000|9|0.062000|
|p_c|3000|7000|9|0.109000|
|p_a|3000|7000|10|0.060000|
|p_b|3000|7000|10|0.055000|
|p_c|3000|7000|10|0.104000|
|p_a|3000|7000|11|0.060000|
|p_b|3000|7000|11|0.057000|
|p_c|3000|7000|11|0.132000|
|p_a|3000|7000|12|0.061000|
|p_b|3000|7000|12|0.054000|
|p_c|3000|7000|12|0.147000|
|s_a|4000|6000|-1|0.416000|
|s_b|4000|6000|-1|0.413000|
|s_c|4000|6000|-1|0.411000|
|p_a|4000|6000|1|0.232000|
|p_b|4000|6000|1|0.235000|
|p_c|4000|6000|1|0.230000|
|p_a|4000|6000|2|0.126000|
|p_b|4000|6000|2|0.129000|
|p_c|4000|6000|2|0.132000|
|p_a|4000|6000|3|0.086000|
