|Name|m|n|p|Time/s|
|s_a|1000|10000|-1|0.374000|
|s_b|1000|10000|-1|0.272000|
|s_c|1000|10000|-1|0.257000|
|p_a|1000|10000|1|0.145000|
|p_b|1000|10000|1|0.135000|
|p_c|1000|10000|1|0.225000|
|p_a|1000|10000|2|0.079000|
|p_b|1000|10000|2|0.076000|
|p_c|1000|10000|2|0.250000|
|p_a|1000|10000|3|0.057000|
|p_b|1000|10000|3|0.052000|
|p_c|1000|10000|3|0.255000|
|p_a|1000|10000|4|0.066000|
|p_b|1000|10000|4|0.060000|
|p_c|1000|10000|4|0.225000|
|p_a|1000|10000|5|0.049000|
|p_b|1000|10000|5|0.045000|
|p_c|1000|10000|5|0.230000|
|p_a|1000|10000|6|0.046000|
|p_b|1000|10000|6|0.041000|
|p_c|1000|10000|6|0.217000|
|p_a|1000|10000|7|0.043000|
|p_b|1000|10000|7|0.044000|
|p_c|1000|10000|7|0.225000|
|p_a|1000|10000|8|0.053000|
|p_b|1000|10000|8|0.055000|
|p_c|1000|10000|8|0.230000|
|p_a|1000|10000|9|0.043000|
|p_b|1000|10000|9|0.043000|
|p_c|1000|10000|9|0.216000|
|p_a|1000|10000|10|0.041000|
|p_b|1000|10000|10|0.039000|
|p_c|1000|10000|10|0.218000|
|p_a|1000|10000|11|0.039000|
|p_b|1000|10000|11|0.049000|
|p_c|1000|10000|11|0.219000|
|p_a|1000|10000|12|0.042000|
|p_b|1000|10000|12|0.046000|
|p_c|1000|10000|12|0.209000|
|s_a|2000|9000|-1|0.408000|
|s_b|2000|9000|-1|0.384000|
|s_c|2000|9000|-1|0.387000|
|p_a|2000|9000|1|0.236000|
|p_b|2000|9000|1|0.222000|
|p_c|2000|9000|1|0.378000|
|p_a|2000|9000|2|0.138000|
|p_b|2000|9000|2|0.119000|
|p_c|2000|9000|2|0.396000|
|p_a|2000|9000|3|0.117000|
|p_b|2000|9000|3|0.090000|
|p_c|2000|9000|3|0.388000|
|p_a|2000|9000|4|0.099000|
|p_b|2000|9000|4|0.072000|
|p_c|2000|9000|4|0.395000|
|p_a|2000|9000|5|0.096000|
|p_b|2000|9000|5|0.087000|
|p_c|2000|9000|5|0.401000|
|p_a|2000|9000|6|0.082000|
|p_b|2000|9000|6|0.075000|
|p_c|2000|9000|6|0.407000|
|p_a|2000|9000|7|0.098000|
|p_b|2000|9000|7|0.131000|
|p_c|2000|9000|7|0.390000|
|p_a|2000|9000|8|0.107000|
|p_b|2000|9000|8|0.065000|
|p_c|2000|9000|8|0.397000|
|p_a|2000|9000|9|0.083000|
|p_b|2000|9000|9|0.079000|
|p_c|2000|9000|9|0.411000|
|p_a|2000|9000|10|0.083000|
|p_b|2000|9000|10|0.068000|
|p_c|2000|9000|10|0.396000|
|p_a|2000|9000|11|0.071000|
|p_b|2000|9000|11|0.065000|
|p_c|2000|9000|11|0.381000|
|p_a|2000|9000|12|0.075000|
|p_b|2000|9000|12|0.078000|
|p_c|2000|9000|12|0.416000|
|s_a|3000|8000|-1|0.536000|
|s_b|3000|8000|-1|0.515000|
|s_c|3000|8000|-1|0.525000|
|p_a|3000|8000|1|0.309000|
|p_b|3000|8000|1|0.301000|
|p_c|3000|8000|1|0.527000|
|p_a|3000|8000|2|0.176000|
|p_b|3000|8000|2|0.172000|
|p_c|3000|8000|2|0.536000|
|p_a|3000|8000|3|0.159000|
|p_b|3000|8000|3|0.120000|
|p_c|3000|8000|3|0.515000|
|p_a|3000|8000|4|0.146000|
|p_b|3000|8000|4|0.136000|
|p_c|3000|8000|4|0.530000|
|p_a|3000|8000|5|0.130000|
|p_b|3000|8000|5|0.115000|
|p_c|3000|8000|5|0.536000|
|p_a|3000|8000|6|0.121000|
|p_b|3000|8000|6|0.099000|
|p_c|3000|8000|6|0.520000|
|p_a|3000|8000|7|0.109000|
|p_b|3000|8000|7|0.090000|
|p_c|3000|8000|7|0.526000|
|p_a|3000|8000|8|0.117000|
|p_b|3000|8000|8|0.085000|
|p_c|3000|8000|8|0.525000|
|p_a|3000|8000|9|0.102000|
|p_b|3000|8000|9|0.090000|
|p_c|3000|8000|9|0.521000|
|p_a|3000|8000|10|0.098000|
|p_b|3000|8000|10|0.098000|
|p_c|3000|8000|10|0.528000|
|p_a|3000|8000|11|0.093000|
|p_b|3000|8000|11|0.104000|
