|Name|m|n|Time/s|
|s_a|1000|1000|0.019000|
|s_b|1000|1000|0.017000|
|s_c|1000|1000|0.017000|
|p_a|1000|1000|0.019000|
|p_b|1000|1000|0.018000|
|p_c|1000|1000|0.017000|
|s_a|1000|2000|0.035000|
|s_b|1000|2000|0.034000|
|s_c|1000|2000|0.034000|
|p_a|1000|2000|0.034000|
|p_b|1000|2000|0.034000|
|p_c|1000|2000|0.034000|
|s_a|2000|1000|0.034000|
|s_b|2000|1000|0.035000|
|s_c|2000|1000|0.035000|
|p_a|2000|1000|0.035000|
|p_b|2000|1000|0.034000|
|p_c|2000|1000|0.035000|
|s_a|2000|2000|0.071000|
|s_b|2000|2000|0.068000|
|s_c|2000|2000|0.068000|
|p_a|2000|2000|0.068000|
|p_b|2000|2000|0.068000|
|p_c|2000|2000|0.068000|
