                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6515,                 1.6901,                 1.2063,                0.68746,                0.30357,                0.33024,                0.12412,                  2.494,                  3.091,                 1.6793,             0.00065497,             0.00065497,             0.00065497
                      2,                 1.6621,                  1.353,                 1.2258,                0.01194,                0.28571,                0.00622,                0.00216,                 2.6057,                 68.084,                 2.0433,              0.0013086,              0.0013086,              0.0013086
                      3,                 1.6239,                  1.635,                 1.2572,                0.36765,                0.14286,                0.13823,                 0.0613,                 2.4639,                 8.6959,                  1.536,              0.0019489,              0.0019489,              0.0019489
                      4,                 1.7509,                 1.5769,                 1.3398,                0.36497,                0.41071,                0.24634,                 0.0888,                  2.732,                 5.0202,                 2.3855,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6047,                 1.2605,                 1.2406,                0.32121,                0.32963,                0.23473,                0.09961,                  3.045,                  3.206,                 2.5791,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5586,                 1.1693,                 1.2517,                0.34397,                0.05357,                0.03803,                 0.0122,                 3.4934,                 5.5497,                 7.5589,               0.001901,               0.001901,               0.001901
                      7,                 1.5597,                  1.152,                 1.2279,                0.00157,                   0.25,                0.00104,                0.00043,                 2.8119,                 618.74,                 2.4646,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.4906,                 1.0778,                 1.2073,                0.33349,                0.20563,                0.17406,                0.07296,                 2.9637,                 2.9792,                 1.9738,              0.0018614,              0.0018614,              0.0018614
                      9,                  1.443,                0.99027,                 1.1484,                 0.7131,                0.42857,                0.47796,                0.16205,                 2.6349,                 2.7417,                 2.4328,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.3979,                 0.9881,                 1.2041,                 0.6102,                0.39286,                0.40652,                 0.1645,                 2.7982,                 2.4885,                 2.5275,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.354,                0.99097,                 1.1463,                0.63217,                0.49115,                 0.5042,                0.19394,                 2.6872,                 2.7984,                 2.1549,               0.001802,               0.001802,               0.001802
                     12,                 1.2979,                0.93914,                 1.1172,                0.44245,                0.46429,                0.42575,                0.16951,                 2.8696,                 2.4058,                 2.0888,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3542,                0.93175,                 1.1486,                0.61418,                0.42857,                 0.4536,                0.18933,                 2.4613,                 2.4726,                 1.8532,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.2635,                0.88074,                 1.1195,                0.72791,                0.35714,                 0.4372,                0.18905,                 2.6687,                 2.4529,                 2.0575,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.2587,                0.85743,                 1.1104,                0.53237,                0.30499,                0.31932,                0.12243,                 2.8763,                 2.3377,                 2.1806,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.2268,                0.80541,                 1.0859,                0.73683,                0.42857,                0.51073,                0.20506,                 2.7543,                 2.2314,                 2.1775,               0.001703,               0.001703,               0.001703
                     17,                 1.2112,                 0.7996,                 1.0594,                0.60161,                0.39286,                0.43693,                0.18126,                 2.6707,                 2.2347,                 2.1072,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.1539,                0.79056,                  1.062,                0.71656,                0.45155,                0.53826,                0.20145,                 2.7838,                 2.1635,                 2.2742,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.1596,                0.76674,                 1.1015,                0.50388,                0.46429,                0.44068,                0.16554,                 2.7133,                 2.5402,                 1.9737,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.1747,                0.76307,                 1.0692,                 0.7591,                0.46429,                0.48543,                0.15952,                 2.8675,                 2.0829,                 2.3552,              0.0016238,              0.0016238,              0.0016238
